DI,Craftsmanship,EraConstructed
1857,5,1108
1858,8,1547
1859,5,1291
1860,5,1346
1861,6,1366
1862,6,1491
1863,6,1348
1864,6,1024
1865,7,1710
1866,6,1780
1867,8,1667
1868,7,1740
1869,5,1012
1870,7,1316
1871,7,1064
1872,9,1621
1873,7,1678
1874,6,1319
1875,6,1404
1876,5,1427
1877,8,1771
1878,7,1344
1879,6,1066
1880,8,1729
1881,7,1680
1882,8,1745
1883,6,1232
1884,6,1002
1885,5,1384
1886,6,1317
1887,10,1721
1888,7,1735
1889,4,1111
1890,6,1365
1891,8,1510
1892,9,1698
1893,7,1480
1894,6,1056
1895,7,1423
1896,5,1441
1897,5,1046
1898,6,1722
1899,8,1726
1900,5,1299
1901,8,1693
1902,5,1500
1903,6,1158
1904,7,1733
1905,8,1472
1906,8,1562
1907,8,1621
1908,5,1496
1909,5,1253
1910,6,1256
1911,7,1554
1912,5,1496
1913,4,1305
1914,5,1274
1915,5,1145
1916,6,1675
1917,6,1153
1918,6,1384
1919,9,1760
1920,6,1144
1921,7,1179
1922,5,1361
1923,8,1599
1924,5,1054
1925,6,1086
1926,5,1132
1927,7,1663
1928,8,1702
1929,6,1256
1930,3,1204
1931,6,1343
1932,8,1675
1933,5,1274
1934,7,1546
1934,7,1546
1935,8,1764
1936,9,1662
1937,7,1760
1938,5,1371
1939,5,1045
1940,5,1349
1941,6,959
1942,7,1664
1943,6,1634
1944,5,1365
1945,7,1074
1946,5,1391
1947,5,1233
1948,8,1418
1949,9,1624
1950,5,1296
1951,7,1624
1952,5,1271
1953,5,1170
1954,7,1797
1955,6,1790
1956,7,1676
1957,4,1316
1958,6,1132
1959,4,1354
1960,7,1671
1961,4,1498
1962,6,1105
1963,7,1521
1964,6,1538
1965,5,1560
1966,8,1418
1967,4,1193
1968,6,1572
1969,6,1598
1970,8,1707
1971,10,1429
1972,7,1413
1973,8,1771
1974,5,1446
1975,7,1670
1976,7,1791
1977,8,1762
1978,4,1221
1979,4,1358
1980,5,1161
1981,8,1733
1982,6,1482
1983,5,1392
1984,8,1656
1985,7,1602
1986,6,1321
1987,5,1285
1988,5,1372
1989,6,1291
1990,7,1632
1991,6,1488
1992,6,1294
1993,5,1140
1994,5,1184
1995,6,1512
1996,5,1462
1997,5,1671
1998,6,1437
1999,8,1769
2000,6,1391
2001,6,1231
2002,5,1419
2003,7,1455
2004,7,1681
2005,8,1703
2006,6,1411
2007,6,1777
2008,7,1751
2009,7,1669
2010,7,1067
2011,5,1093
2012,5,1712
2013,5,1019
2014,5,1313
2015,6,1243
2016,4,1130
2017,6,1465
2018,9,1709
2019,6,1416
2020,6,1278
2021,5,1447
2022,4,1076
2023,8,1763
2024,4,1276
2025,5,1333
2025,5,1333
2026,7,1686
2027,4,1050
2028,7,1112
2029,6,1584
2030,7,1763
2031,2,1098
2032,5,1209
2033,9,1714
2034,7,1459
2035,7,1669
2036,10,1689
2037,5,1173
2038,5,1533
2039,5,1177
2040,7,1537
2041,7,1141
2042,4,1345
2043,6,1211
2044,4,1366
2045,7,1132
2046,7,1649
2047,8,1666
2048,8,1701
2049,6,1330
2050,4,1293
2051,5,1108
2052,6,1041
2053,10,1666
2054,5,1190
2055,6,1767
2056,4,1236
2057,8,1712
2058,6,1363
2059,5,1471
2060,8,1720
2061,7,1781
2062,5,1330
2063,6,1613
2064,6,1364
2065,6,1374
2066,6,1526
2067,9,1695
2067,9,1695
2068,7,1406
2069,9,1745
2070,6,1586
2071,7,1599
2072,8,1732
2073,7,1749
2074,5,1044
2075,6,1501
2076,4,1261
2077,6,1396
2078,6,1318
2079,7,1575
2080,6,1221
2081,7,1432
2082,5,1210
2083,7,1797
2084,7,1770
2085,6,1357
2086,8,1476
2087,4,1014
2088,6,1588
2089,5,1366
2090,8,1678
2091,2,1063
2092,9,1543
2093,6,1390
2094,7,1070
2095,8,1618
2096,8,1412
2097,9,1782
2098,5,1357
2099,6,1402
2100,7,1429
2101,5,1586
2102,5,1240
2103,8,1691
2104,5,1386
2105,7,1798
2106,5,1573
2107,4,1215
2108,6,1743
2109,5,1037
2110,6,1244
2111,8,1750
2112,7,1425
2113,5,1092
2114,8,1604
2115,5,1430
2116,8,1197
2117,5,1465
2118,8,1586
2119,9,1787
2120,5,1290
2121,5,1337
2122,7,1638
2123,5,1536
2124,9,1728
2125,5,1273
2126,4,1380
2127,7,1126
2128,6,1283
2129,9,1679
2129,9,1679
2130,6,1351
2131,6,1226
2132,5,1391
2133,5,1275
2134,7,1766
2135,5,1247
2136,7,1762
2137,7,1008
2138,7,1703
2139,7,1478
2140,5,1541
2141,6,1470
2142,7,1721
2143,7,1769
2144,5,1251
2145,5,1277
2146,6,1739
2147,8,1663
2148,8,1543
2149,6,1084
2150,5,1239
2151,7,1556
2152,4,1287
2153,5,1269
2154,5,1051
2155,8,1411
2156,7,1257
2157,8,1789
2158,9,1655
2159,8,1414
2160,4,1246
2161,7,1525
2162,5,1631
2163,5,1313
2164,5,1273
2165,5,1255
2166,7,1637
2167,5,1479
2168,5,1079
2169,7,1440
2170,5,1318
2171,6,1640
2172,5,1242
2173,8,1792
2174,8,1740
2175,7,1561
2176,6,1087
2177,4,1102
2178,7,1486
2179,6,1748
2180,6,1293
2181,9,1678
2182,3,1360
2183,6,1510
2184,6,1311
2185,6,1292
2186,6,1077
2187,3,1142
2188,7,1255
2189,7,1549
2190,6,1548
2191,5,1069
2192,8,1628
2193,7,1011
2194,6,1547
2195,6,1044
2196,6,1172
2197,5,1375
2198,6,1194
2199,6,1313
2200,6,1506
2201,8,1638
2202,6,1011
2203,7,1454
2204,7,1645
2205,7,1753
2206,4,982
2207,6,1199
2208,5,1249
2209,6,1301
2210,5,1754
2211,10,1769
2212,6,1369
2213,5,1406
2214,5,1173
2215,6,1507
2216,5,950
2217,5,1372
2218,8,1539
2219,7,1790
2220,7,1640
2221,7,1696
2222,6,1457
2223,5,1158
2224,5,1226
2225,7,1600
2226,8,1635
2227,7,1651
2228,10,1734
2229,7,1633
2230,6,1203
2231,4,1023
2232,9,1797
2233,8,1731
2234,6,1075
2235,8,1627
2236,4,1080
2237,7,1749
2238,4,1390
2239,8,1531
2240,7,1774
2241,7,1490
2242,6,1442
2243,7,971
2244,6,1367
2245,6,1487
2246,6,1669
2247,6,1584
2248,5,1396
2249,7,1602
2250,5,1308
2251,7,1211
2252,5,1284
2253,5,1093
2254,6,1575
2255,5,1203
2256,6,1292
2257,5,1208
2258,7,1470
2259,5,1254
2260,7,1607
2261,5,1571
2262,7,1689
2263,8,1688
2264,7,1506
2265,9,1712
2266,5,1323
2267,7,1654
2268,5,1470
2269,4,1021
2270,7,1219
2271,8,1025
2272,9,1721
2273,6,1315
2274,5,1458
2275,5,1184
2276,3,1242
2277,8,1552
2278,6,1575
2279,7,1503
2280,7,1485
2281,7,1230
2282,5,1284
2283,5,1345
2284,6,1001
2285,5,1116
2286,6,1568
2287,5,1287
2288,9,1663
2289,8,1780
2290,4,1179
2291,5,1108
2292,6,1341
2293,4,1233
2294,7,1752
2295,6,1468
2296,8,1493
2297,6,1771
2298,10,1741
2299,6,1785
2300,6,1475
2301,8,1482
2302,7,1503
2303,8,1529
2304,6,1398
2305,8,1657
2306,5,1375
2307,5,1326
2308,5,1025
2309,6,1451
2310,5,1241
2311,5,1376
2312,5,1118
2313,8,1402
2314,7,1504
2315,5,1252
2316,6,1447
2316,6,1447
2317,8,1621
2318,6,1070
2318,6,1070
2319,8,1724
2320,5,1250
2321,5,1011
2322,6,1281
2323,7,1713
2324,6,1010
2325,7,1468
2326,5,1389
2327,8,1192
2328,5,1356
2329,7,1466
2330,7,1634
2331,5,1471
2332,7,1688
2333,6,1699
2334,6,1354
2335,5,1774
2336,4,1263
2337,7,1741
2338,5,1240
2339,3,1103
