DI,StructuralIntegrity,ExteriorCharm
1627,4,Common
1628,6,Common
1629,9,Enchanting
1630,6,Common
1631,6,Common
1632,5,Common
1633,6,Common
1634,7,Common
1635,5,Gleaming
1636,5,Gleaming
1637,5,Common
1638,7,Gleaming
1639,5,Common
1640,5,Gleaming
1641,5,Gleaming
1642,5,Common
1643,7,Common
1644,3,Common
1645,6,Common
1646,5,Gleaming
1647,5,Enchanting
1648,8,Common
1649,7,Common
1650,6,Common
1651,5,Gleaming
1652,7,Common
1653,7,Common
1654,5,Common
1655,7,Common
1656,5,Gleaming
1657,7,Common
1658,5,Gleaming
1659,7,Gleaming
1660,3,Common
1661,5,Common
1662,6,Common
1663,5,Common
1664,5,Gleaming
1665,5,Enchanting
1666,8,Common
1667,5,Common
1668,5,Common
1669,6,Common
1670,6,Common
1671,5,Common
1672,5,Gleaming
1673,6,Gleaming
1674,5,Enchanting
1675,6,Common
1676,5,Common
1677,5,Common
1678,5,Gleaming
1679,6,Common
1680,5,Gleaming
1681,5,Gleaming
1682,5,Enchanting
1683,5,Common
1684,6,Common
1685,8,Common
1686,5,Gleaming
1687,5,Gleaming
1688,5,Common
1689,8,Gleaming
1690,6,Common
1691,4,Common
1692,7,Common
1693,5,Enchanting
1694,8,Common
1695,5,Common
1696,6,Common
1697,6,Common
1698,6,Common
1699,9,Gleaming
1700,6,Common
1701,5,Common
1702,5,Gleaming
1703,8,Common
1704,5,Gleaming
1705,8,Common
1706,6,Common
1707,6,Common
1708,5,Common
1709,5,Gleaming
1710,5,Gleaming
1711,5,Gleaming
1712,5,Gleaming
1713,5,Gleaming
1714,8,Gleaming
1715,5,Gleaming
1716,5,Gleaming
1717,7,Gleaming
1718,5,Gleaming
1719,5,Gleaming
1720,5,Common
1721,5,Common
1722,5,Gleaming
1723,5,Common
1724,5,Common
1725,7,Common
1726,5,Common
1727,6,Common
1728,9,Common
1729,4,Modest
1730,8,Common
1731,5,Gleaming
1732,7,Common
1733,5,Gleaming
1734,5,Gleaming
1735,5,Gleaming
1736,7,Gleaming
1737,5,Gleaming
1738,5,Common
1739,5,Gleaming
1740,5,Common
1741,5,Common
1742,8,Common
1743,8,Common
1744,7,Common
1745,5,Common
1746,5,Common
1747,5,Gleaming
1748,5,Common
1749,6,Common
1750,5,Common
1751,7,Common
1752,5,Gleaming
1753,3,Common
1754,5,Gleaming
1755,5,Common
1756,8,Enchanting
1757,8,Common
1758,7,Common
1759,5,Common
1760,7,Common
1761,5,Common
1762,5,Common
1763,4,Common
1764,5,Common
1765,7,Common
1766,7,Gleaming
1767,5,Common
1768,7,Common
1769,6,Gleaming
1770,5,Common
1771,6,Common
1772,5,Gleaming
1773,6,Common
1774,7,Common
1775,4,Common
1776,5,Common
1777,5,Gleaming
1778,6,Common
1779,6,Common
1780,6,Common
1781,6,Common
1782,5,Common
1783,4,Common
1784,5,Gleaming
1785,9,Gleaming
1786,6,Common
1787,5,Common
1788,5,Common
1789,5,Common
1790,5,Gleaming
1791,5,Common
1792,5,Gleaming
1793,7,Common
1794,6,Common
1795,7,Common
1796,5,Gleaming
1797,8,Common
1798,4,Common
1799,5,Gleaming
1799,5,Gleaming
1800,5,Gleaming
1801,5,Gleaming
1802,5,Common
1803,5,Common
1804,7,Common
1805,5,Common
1805,5,Common
1806,6,Common
1807,5,Gleaming
1808,5,Common
1809,6,Common
1810,7,Common
1811,5,Gleaming
1812,8,Common
1813,5,Gleaming
1814,5,Gleaming
1815,7,Common
1816,5,Common
1817,5,Common
1818,6,Common
1819,5,Common
1820,6,Common
1821,7,Gleaming
1821,7,Gleaming
1822,8,Common
1823,8,Common
1824,7,Gleaming
1825,5,Gleaming
1826,5,Common
1827,7,Common
1828,6,Modest
1829,5,Gleaming
1830,5,Gleaming
1831,7,Common
1832,6,Common
1833,7,Common
1834,8,Gleaming
1835,5,Common
1836,6,Modest
1837,5,Common
1838,5,Common
1839,5,Gleaming
1840,5,Gleaming
1841,5,Gleaming
1842,5,Modest
1843,5,Common
1844,7,Common
1845,5,Common
1846,6,Common
1847,4,Common
1848,5,Common
1849,5,Common
1850,4,Common
1851,5,Common
1852,6,Common
1853,5,Gleaming
1854,6,Common
1855,6,Common
1856,5,Gleaming
1857,6,Common
1858,5,Gleaming
1859,6,Common
1860,5,Common
1861,6,Common
1862,6,Common
1863,6,Common
1864,7,Common
1865,5,Gleaming
1866,5,Gleaming
1867,5,Gleaming
1868,5,Gleaming
1869,7,Common
1870,7,Common
1871,7,Common
1872,5,Gleaming
1873,5,Gleaming
1874,5,Common
1875,5,Common
1876,5,Common
1877,5,Gleaming
1878,9,Enchanting
1879,8,Common
1880,5,Gleaming
1881,5,Gleaming
1882,5,Gleaming
1883,5,Common
1884,7,Common
1885,5,Common
1886,5,Common
1887,5,Enchanting
1888,5,Gleaming
1889,5,Common
1890,3,Common
1891,5,Gleaming
1892,5,Gleaming
1893,5,Gleaming
1894,3,Common
1895,6,Common
1896,5,Common
1897,8,Gleaming
1898,5,Gleaming
1899,5,Gleaming
1900,5,Common
1901,5,Gleaming
1902,9,Gleaming
1903,7,Common
1904,5,Common
1905,6,Gleaming
1906,5,Gleaming
1907,5,Gleaming
1908,4,Common
1909,5,Common
1910,8,Common
1911,7,Gleaming
1912,5,Common
1913,4,Modest
1914,4,Common
1915,7,Common
1916,5,Common
1917,8,Common
1918,7,Common
1919,5,Enchanting
1920,8,Common
1921,7,Common
1922,7,Common
1923,5,Common
1924,4,Common
1925,7,Modest
1926,5,Common
1927,5,Gleaming
1928,5,Gleaming
1929,5,Common
1930,8,Common
1931,7,Gleaming
1932,5,Gleaming
1933,5,Common
1934,5,Common
1934,5,Common
1935,5,Gleaming
1936,5,Gleaming
1937,5,Common
1938,5,Common
1939,8,Gleaming
1940,8,Common
1941,4,Common
1942,5,Gleaming
1943,5,Gleaming
1944,6,Common
1945,8,Common
1946,7,Common
1947,6,Common
1948,5,Gleaming
1949,5,Enchanting
1950,8,Common
1951,5,Gleaming
1952,7,Common
1953,7,Common
1954,5,Common
1955,5,Gleaming
1956,5,Gleaming
1957,8,Common
1958,7,Common
1959,6,Common
1960,5,Gleaming
1961,4,Common
1962,5,Common
1963,7,Gleaming
1964,5,Common
1965,6,Common
1966,7,Gleaming
1967,7,Common
1968,5,Common
1969,5,Common
1970,5,Gleaming
1971,5,Gleaming
1972,5,Gleaming
1973,5,Gleaming
1974,6,Common
1975,5,Gleaming
1976,5,Gleaming
1977,5,Gleaming
1978,4,Common
1979,5,Common
1980,6,Common
1981,5,Gleaming
1982,5,Common
1983,7,Common
1984,5,Gleaming
1985,5,Gleaming
1986,7,Common
1987,5,Common
1988,5,Common
1989,5,Common
1990,5,Gleaming
1991,5,Common
1992,6,Common
1993,5,Common
1994,6,Common
1995,5,Common
1996,5,Gleaming
1997,5,Gleaming
1998,5,Gleaming
1999,5,Gleaming
2000,7,Common
2001,6,Gleaming
2002,5,Common
2003,5,Gleaming
2004,5,Gleaming
2005,5,Gleaming
2006,5,Common
2007,5,Gleaming
2008,5,Gleaming
2009,5,Gleaming
2010,6,Gleaming
2011,7,Common
2012,5,Common
2013,7,Common
2014,5,Common
2015,8,Common
2016,5,Common
2017,5,Common
2018,5,Enchanting
2019,5,Common
2020,6,Common
2021,5,Common
2022,6,Common
2023,5,Gleaming
2024,5,Common
2025,5,Common
2025,5,Common
2026,5,Gleaming
2027,7,Common
2028,8,Common
2029,8,Common
2030,5,Gleaming
2031,4,Common
2032,5,Common
2033,2,Gleaming
2034,5,Common
2035,5,Gleaming
2036,5,Enchanting
2037,4,Common
2038,5,Common
2039,6,Common
2040,6,Common
2041,4,Modest
2042,6,Common
2043,6,Common
2044,5,Common
2045,6,Gleaming
2046,5,Gleaming
2047,5,Gleaming
2048,5,Gleaming
2049,5,Common
2050,5,Common
2051,9,Common
2052,6,Common
2053,5,Enchanting
2054,7,Common
2055,5,Gleaming
2056,5,Common
2057,5,Gleaming
2058,6,Common
2059,5,Common
2060,5,Gleaming
2061,5,Gleaming
2062,5,Common
2063,5,Gleaming
2064,6,Common
2065,3,Common
2066,5,Common
2067,5,Enchanting
2067,5,Enchanting
2068,5,Gleaming
2069,5,Enchanting
2070,5,Common
2071,5,Gleaming
2072,5,Gleaming
2073,5,Gleaming
2074,7,Common
2075,6,Common
2076,5,Common
2077,6,Common
2078,7,Gleaming
2079,5,Gleaming
2080,5,Common
2081,5,Gleaming
2082,5,Common
2083,5,Gleaming
2084,5,Gleaming
2085,5,Common
2086,7,Gleaming
2087,3,Common
2088,5,Common
2089,7,Common
2090,5,Gleaming
2091,4,Common
2092,5,Gleaming
2093,6,Common
2094,8,Common
2095,5,Gleaming
2096,5,Gleaming
2097,5,Gleaming
2098,5,Common
2099,5,Gleaming
2100,5,Gleaming
2101,5,Common
2102,5,Common
2103,5,Gleaming
2104,5,Common
2105,5,Gleaming
2106,2,Common
2107,5,Common
2108,5,Common
2109,6,Common
2110,7,Common
2111,5,Gleaming
2112,7,Common
2113,5,Common
2114,5,Gleaming
2115,6,Common
2116,6,Common
2117,5,Common
2118,5,Gleaming
2119,5,Enchanting
2120,4,Common
2121,6,Common
2122,6,Gleaming
2123,6,Common
2124,5,Enchanting
2125,7,Common
2126,7,Common
2127,9,Common
2128,5,Common
2129,5,Gleaming
2129,5,Gleaming
2130,5,Common
2131,7,Common
2132,8,Gleaming
2133,7,Common
2134,5,Gleaming
2135,5,Common
2136,5,Gleaming
2137,7,Common
2138,6,Gleaming
2139,5,Common
2140,5,Common
2141,5,Gleaming
2142,5,Enchanting
2143,5,Common
2144,5,Common
2145,6,Common
2146,5,Common
2147,5,Gleaming
2148,5,Gleaming
2149,7,Common
2150,7,Common
2151,5,Gleaming
2152,4,Common
2153,5,Modest
2154,6,Common
2155,5,Gleaming
2156,6,Common
2157,5,Gleaming
2158,5,Gleaming
2159,5,Gleaming
2160,7,Common
2161,5,Gleaming
2162,5,Common
2163,6,Common
2164,6,Common
2165,6,Common
2166,5,Gleaming
2167,7,Common
2168,5,Common
2169,5,Gleaming
2170,5,Common
2171,5,Gleaming
2172,5,Common
2173,5,Gleaming
2174,5,Gleaming
2175,5,Gleaming
2176,6,Common
2177,4,Common
2178,5,Common
2179,5,Gleaming
2180,6,Common
2181,5,Enchanting
2182,5,Common
2183,6,Common
2184,5,Gleaming
2185,7,Common
2186,7,Gleaming
2187,4,Common
2188,6,Common
2189,5,Gleaming
2190,6,Common
2191,6,Common
2192,5,Gleaming
2193,7,Gleaming
2194,6,Common
2195,6,Common
2196,7,Common
2197,4,Common
2198,8,Common
2199,7,Common
2200,6,Common
2201,5,Gleaming
2202,6,Common
2203,5,Gleaming
2204,5,Gleaming
2205,5,Gleaming
2206,7,Common
2207,8,Common
2208,7,Common
2209,6,Common
2210,5,Common
2211,5,Enchanting
2212,5,Common
2213,8,Common
2214,6,Common
2215,5,Gleaming
2216,6,Common
2217,6,Common
2218,5,Gleaming
2219,5,Gleaming
2220,5,Gleaming
2221,5,Gleaming
2222,5,Common
2223,8,Common
2224,5,Common
2225,5,Gleaming
2226,5,Enchanting
2227,5,Gleaming
2228,5,Enchanting
2229,5,Gleaming
2230,5,Common
2231,4,Common
2232,5,Enchanting
2233,5,Gleaming
2234,5,Common
2235,5,Gleaming
2236,6,Common
2237,5,Gleaming
2238,6,Common
2239,6,Gleaming
2240,5,Gleaming
2241,5,Gleaming
2242,5,Gleaming
2243,7,Common
2244,6,Common
2245,5,Gleaming
2246,5,Gleaming
2247,5,Gleaming
2248,7,Common
2249,5,Gleaming
2250,5,Common
2251,5,Common
2252,8,Common
2253,8,Gleaming
2254,5,Common
2255,8,Common
2256,6,Common
2257,5,Common
2258,5,Common
2259,5,Common
2260,5,Gleaming
2261,7,Common
2262,5,Gleaming
2263,5,Gleaming
2264,5,Common
2265,5,Enchanting
2266,6,Common
2267,5,Gleaming
2268,8,Gleaming
2269,5,Common
2270,5,Common
2271,9,Gleaming
2272,5,Gleaming
2273,6,Common
2274,5,Common
2275,3,Common
2276,4,Common
2277,5,Gleaming
2278,6,Common
2279,7,Gleaming
2280,5,Common
2281,5,Common
2282,7,Common
2283,5,Common
2284,6,Common
2285,7,Common
2286,6,Common
2287,7,Common
2288,5,Gleaming
2289,5,Gleaming
2290,7,Gleaming
2291,4,Common
2292,5,Common
2293,5,Common
2294,5,Gleaming
2295,5,Gleaming
2296,5,Gleaming
2297,5,Gleaming
2298,5,Enchanting
2299,5,Gleaming
2300,7,Common
2301,5,Gleaming
2302,5,Gleaming
2303,5,Gleaming
2304,7,Common
2305,5,Gleaming
2306,5,Common
2307,5,Common
2308,6,Common
2309,5,Common
2310,4,Common
2311,5,Common
2312,7,Common
2313,5,Gleaming
2314,7,Gleaming
2315,6,Common
2316,5,Common
2316,5,Common
2317,5,Gleaming
2318,7,Common
2318,7,Common
2319,5,Common
2320,6,Common
2321,7,Common
2322,6,Common
2323,5,Gleaming
2324,7,Common
2325,5,Common
2326,8,Gleaming
2327,9,Gleaming
2328,6,Common
2329,5,Gleaming
2330,5,Gleaming
2331,5,Common
2332,5,Gleaming
2333,5,Gleaming
2334,5,Common
2335,5,Common
2336,4,Common
2337,5,Gleaming
2338,7,Common
2339,2,Modest
