DI,TradeValue,RealmType,Enclave,LivingQuarters,ParcelSize,ParcelSizeUnit,StructuralIntegrity,ExteriorCharm,Downpayment,LoanAmount,MonthlyPayment,AffordableDwelling
630,356000.0,Meadowlands,Silverglen,1396.0,12469.0,sqft,5,Enchanting,71200.0,284800.0,1359.6787614856123,0
631,73000.0,GnomeBurough,Wolfsbane,484.0,1470.0,sqft,6,Common,14600.0,58400.0,278.810532551825,1
632,410000.0,Meadowlands,Glimmerwood,2367.0,10557.0,sqft,5,Gleaming,82000.0,328000.0,1565.9221691266887,0
633,170000.0,Meadowlands,Nighthaven,938.0,13001.0,sqft,5,Common,34000.0,136000.0,649.2848018330171,1
634,129000.0,Meadowlands,Emberfall,687.0,8724.0,sqft,5,Common,25800.0,103200.0,492.6925849203483,1
635,129200.0,Meadowlands,Emberfall,723.0,8789.0,sqft,6,Common,25840.0,103360.0,493.456449393093,1
636,136500.0,Meadowlands,Stormhold,1303.0,8400.0,sqft,5,Common,27300.0,109200.0,521.3375026482755,1
637,252000.0,Meadowlands,Silverglen,1244.0,16163.0,sqft,5,Gleaming,50400.0,201600.0,962.4692356583549,0
638,127000.0,Meadowlands,Dragonspire,880.0,7700.0,sqft,7,Common,25400.0,101600.0,485.0539401929011,1
639,194.0,Meadowlands,Sunspire,938.0,0.07406,sqft,5,Gleaming,38.800000000000004,155.2,0.7409485385623843,1
640,149500.0,Meadowlands,Dragonspire,759.0,9240.0,sqft,8,Gleaming,29900.0,119600.0,570.9886933766827,1
641,135000.0,Meadowlands,Nighthaven,1273.0,9246.0,sqft,5,Common,27000.0,108000.0,515.6085191026901,1
642,136000.0,Meadowlands,Dragonspire,830.0,9464.0,sqft,7,Common,27200.0,108800.0,519.4278414664137,1
643,134900.0,GnomeBurough,Stormwatch,904.0,6000.0,sqft,9,Gleaming,26980.0,107920.0,515.2265868663177,1
644,155835.0,Meadowlands,Sunspire,1119.0,11103.0,sqft,5,Gleaming,31167.0,124668.0,595.184100550872,1
645,191000.0,Meadowlands,Thornfield,1965.0,11526.0,sqft,7,Common,38200.0,152800.0,729.4905714712135,1
646,191000.0,Meadowlands,Sunspire,1137.0,9382.0,sqft,5,Gleaming,38200.0,152800.0,729.4905714712135,1
647,227000.0,Meadowlands,Dragonspire,1529.0,14670.0,sqft,7,Gleaming,45400.0,181600.0,866.9861765652641,0
648,192000.0,Meadowlands,Dragonspire,664.0,9760.0,sqft,7,Common,38400.0,153600.0,733.309893834937,1
649,262500.0,Meadowlands,Nighthaven,1658.0,20781.0,sqft,7,Common,52500.0,210000.0,1002.572120477453,0
650,160000.0,Meadowlands,Duskwood,913.0,9556.0,sqft,5,Common,32000.0,128000.0,611.0915781957809,1
651,305900.0,Meadowlands,Sunspire,1538.0,10386.0,sqft,5,Gleaming,61180.0,244720.0,1168.3307110630585,0
652,160500.0,Meadowlands,Crystalhollow,914.0,4500.0,sqft,5,Common,32100.0,128400.0,613.0012393776426,1
653,187750.0,AetherIsles,Wyverncliff,1000.0,7200.0,sqft,5,Gleaming,37550.0,150200.0,717.0777737891117,1
654,129000.0,Meadowlands,Dragonspire,719.0,5868.0,sqft,7,Common,25800.0,103200.0,492.6925849203483,1
655,180000.0,Meadowlands,Dragonspire,664.0,19900.0,sqft,5,Common,36000.0,144000.0,687.4780254702536,1
656,215000.0,Meadowlands,Thornfield,1674.0,15600.0,sqft,6,Common,43000.0,172000.0,821.1543082005807,0
657,287000.0,Meadowlands,Sunspire,1740.0,9240.0,sqft,5,Gleaming,57400.0,229600.0,1096.145518388682,0
658,137250.0,Meadowlands,Emberfall,664.0,7832.0,sqft,5,Common,27450.0,109800.0,524.2019944210682,1
659,315500.0,Meadowlands,Ravenstone,1246.0,12898.0,sqft,5,Gleaming,63100.0,252400.0,1204.9962057548053,0
660,130500.0,Meadowlands,Emberfall,1137.0,13517.0,sqft,8,Gleaming,26100.0,104400.0,498.4215684659338,1
661,290000.0,Meadowlands,Mossheart,1285.0,16280.0,sqft,9,Enchanting,58000.0,232000.0,1107.603485479853,0
662,151000.0,Meadowlands,Brightforge,936.0,7175.0,sqft,5,Gleaming,30200.0,120800.0,576.7176769222682,1
663,235000.0,Meadowlands,Nighthaven,1587.0,18559.0,sqft,5,Gleaming,47000.0,188000.0,897.5407554750532,0
664,137500.0,Meadowlands,Ravenstone,1033.0,14375.0,sqft,6,Common,27500.0,110000.0,525.1568250119992,1
665,124400.0,Meadowlands,Dragonspire,808.0,9759.0,sqft,5,Common,24880.0,99520.0,475.1237020472196,1
666,257500.0,AetherIsles,Wyverncliff,1275.0,10206.0,sqft,5,Gleaming,51500.0,206000.0,983.4755086588349,0
667,153000.0,Meadowlands,Dragonspire,664.0,9532.0,sqft,6,Common,30600.0,122400.0,584.3563216497154,1
668,133000.0,GnomeBurough,Stormwatch,1209.0,6120.0,sqft,7,Common,26600.0,106400.0,507.96987437524285,1
669,180500.0,Meadowlands,Ravenstone,1009.0,6717.990606220599,sqft,5,Gleaming,36100.0,144400.0,689.3876866521153,1
670,110000.0,Meadowlands,Thornfield,1056.0,9260.0,sqft,4,Common,22000.0,88000.0,420.1254600095994,1
671,170000.0,Meadowlands,Crystalhollow,1068.0,10009.986003017,sqft,5,Common,34000.0,136000.0,649.2848018330171,1
672,271500.0,AetherIsles,Wyverncliff,1129.0,10440.0,sqft,5,Gleaming,54300.0,217200.0,1036.9460217509657,0
673,179900.0,Meadowlands,Dragonspire,973.0,9350.0,sqft,8,Common,35980.0,143920.0,687.0960932338811,1
674,129500.0,GnomeBurough,Petalbridge,1583.0,9600.0,sqft,5,Common,25900.0,103600.0,494.60224610221013,1
675,161000.0,Meadowlands,Dragonspire,801.0,9200.0,sqft,5,Common,32200.0,128800.0,614.9109005595045,1
676,119900.0,GnomeBurough,Petalbridge,859.0,7800.0,sqft,7,Common,23980.0,95920.0,457.9367514104633,1
677,137000.0,Meadowlands,Dragonspire,775.0,11425.0,sqft,6,Common,27400.0,109600.0,523.2471638301374,1
678,298751.0,Meadowlands,Ravenstone,1329.0,11449.0,sqft,5,Gleaming,59750.200000000004,239000.8,1141.0263754847983,0
679,113000.0,GnomeBurough,Petalbridge,1116.0,4456.0,sqft,5,Common,22600.0,90400.0,431.5834271007703,1
680,271000.0,Meadowlands,Glimmerwood,1636.0,10944.0,sqft,5,Gleaming,54200.0,216800.0,1035.0363605691039,0
681,232600.0,AetherIsles,Wyverncliff,1145.0,11216.0,sqft,5,Gleaming,46520.0,186080.0,888.3743818021164,0
682,129000.0,Meadowlands,Emberfall,664.0,8400.0,sqft,5,Common,25800.0,103200.0,492.6925849203483,1
683,185000.0,Meadowlands,Emberfall,913.0,14175.0,sqft,8,Common,37000.0,148000.0,706.5746372888716,1
684,158900.0,Meadowlands,Emberfall,664.0,11616.0,sqft,5,Common,31780.0,127120.0,606.8903235956849,1
685,187500.0,Meadowlands,Dragonspire,1117.0,10572.9852157741,sqft,6,Common,37500.0,150000.0,716.1229431981808,1
686,179200.0,Meadowlands,Brightforge,995.0,7153.0,sqft,5,Common,35840.0,143360.0,684.4225675792745,1
687,154000.0,Meadowlands,Dragonspire,664.0,10143.0,sqft,7,Common,30800.0,123200.0,588.1756440134391,1
688,193000.0,Meadowlands,Thornfield,1200.0,13339.0,sqft,6,Common,38600.0,154400.0,737.1292161986607,1
689,146000.0,Meadowlands,Dragonspire,923.0,9230.0,sqft,8,Common,29200.0,116800.0,557.62106510365,1
690,108000.0,GnomeBurough,Petalbridge,793.0,7741.0,sqft,5,Common,21600.0,86400.0,412.48681528215207,1
691,140000.0,GnomeBurough,Petalbridge,1393.0,7630.0,sqft,9,Common,28000.0,112000.0,534.7051309213083,1
692,249000.0,AetherIsles,Wyverncliff,1158.0,8251.0,sqft,5,Gleaming,49800.0,199200.0,951.011268567184,0
693,180000.0,Meadowlands,Riverbend,984.0,5070.0,sqft,5,Gleaming,36000.0,144000.0,687.4780254702536,1
694,147000.0,Meadowlands,Dragonspire,856.0,9600.0,sqft,7,Gleaming,29400.0,117600.0,561.4403874673737,1
695,136500.0,Meadowlands,Dragonspire,807.0,10659.0,sqft,6,Common,27300.0,109200.0,521.3375026482755,1
696,113500.0,Meadowlands,Dragonspire,664.0,9000.0,sqft,6,Common,22700.0,90800.0,433.4930882826321,1
697,122250.0,GnomeBurough,Petalbridge,1338.0,7308.0,sqft,5,Modest,24450.0,97800.0,466.91215896521385,1
698,141000.0,Meadowlands,Duskwood,664.0,19138.0,sqft,5,Common,28200.0,112800.0,538.5244532850319,1
699,116000.0,GnomeBurough,Petalbridge,859.0,4400.0,sqft,8,Common,23200.0,92800.0,443.0413941919412,1
700,345000.0,Meadowlands,Dragonspire,2079.0,13860.0,sqft,7,Gleaming,69000.0,276000.0,1317.6662154846526,0
701,189000.0,Meadowlands,Duskwood,1252.0,8400.0,sqft,5,Common,37800.0,151200.0,721.8519267437662,1
702,168675.0,Meadowlands,Sunspire,1146.0,8333.0,sqft,5,Gleaming,33735.0,134940.0,644.2241997010834,1
703,181755.0,Meadowlands,Duskwood,1150.0,15810.0,sqft,5,Gleaming,36351.0,145404.0,694.1809362185884,1
704,212000.0,Meadowlands,Sunspire,1359.0,10769.0,sqft,5,Gleaming,42400.0,169600.0,809.6963411094097,0
705,165250.0,Meadowlands,Emberfall,1001.0,6960.0,sqft,8,Common,33050.0,132200.0,631.1430206053299,1
706,130000.0,Meadowlands,Dragonspire,1384.0,8513.0,sqft,5,Common,26000.0,104000.0,496.5119072840719,1
707,184000.0,Meadowlands,Brightforge,1296.0,7800.0,sqft,5,Gleaming,36800.0,147200.0,702.755314925148,1
708,121500.0,Meadowlands,Emberfall,1070.0,11341.0,sqft,6,Common,24300.0,97200.0,464.04766719242105,1
709,127500.0,Meadowlands,Shadowmere,1299.0,9855.0,sqft,5,Common,25500.0,102000.0,486.9636013747629,1
710,120000.0,GnomeBurough,Mystvale,1006.0,10320.0,sqft,6,Common,24000.0,96000.0,458.31868364683567,1
711,320000.0,Meadowlands,Ravenstone,1507.0,13618.0,sqft,5,Gleaming,64000.0,256000.0,1222.1831563915619,0
712,268000.0,Meadowlands,Dragonspire,1705.0,15865.0,sqft,6,Gleaming,53600.0,214400.0,1023.578393477933,0
713,130000.0,Meadowlands,Dragonspire,1046.0,7134.0,sqft,5,Common,26000.0,104000.0,496.5119072840719,1
714,193500.0,Meadowlands,Dragonspire,1647.0,13000.0,sqft,6,Common,38700.0,154800.0,739.0388773805224,1
715,108000.0,Meadowlands,Shadowmere,1161.0,9084.0,sqft,5,Common,21600.0,86400.0,412.48681528215207,1
716,170000.0,GnomeBurough,Petalbridge,1127.0,10800.0,sqft,8,Common,34000.0,136000.0,649.2848018330171,1
717,192100.0,Meadowlands,Dragonspire,1423.0,11727.0,sqft,6,Common,38420.0,153680.0,733.6918260713094,1
718,245000.0,Meadowlands,Windwhisper,664.0,20270.0,sqft,6,Common,49000.0,196000.0,935.7339791122896,0
719,129400.0,GnomeBurough,Petalbridge,1184.0,6000.0,sqft,9,Gleaming,25880.0,103520.0,494.2203138658378,1
720,75000.0,GnomeBurough,Stormwatch,893.0,6120.0,sqft,5,Gleaming,15000.0,60000.0,286.4491772792723,1
721,128000.0,Meadowlands,Dragonspire,817.0,9920.0,sqft,5,Common,25600.0,102400.0,488.87326255662475,1
722,230000.0,Meadowlands,Nighthaven,1759.0,13774.0,sqft,7,Common,46000.0,184000.0,878.444143656435,0
723,96900.0,GnomeBurough,Petalbridge,1058.0,7614.0,sqft,5,Common,19380.0,77520.0,370.0923370448198,1
724,215000.0,Meadowlands,Nighthaven,1232.0,16635.0,sqft,7,Gleaming,43000.0,172000.0,821.1543082005807,0
725,205000.0,Meadowlands,Thornfield,1205.0,13680.0,sqft,6,Common,41000.0,164000.0,782.9610845633443,0
726,240000.0,Meadowlands,Sunspire,1613.0,9375.0,sqft,5,Gleaming,48000.0,192000.0,916.6373672936713,0
727,279000.0,Meadowlands,Silverglen,1472.0,13215.0,sqft,5,Gleaming,55800.0,223200.0,1065.5909394788928,0
728,131000.0,Meadowlands,Dragonspire,775.0,6860.0,sqft,6,Common,26200.0,104800.0,500.3312296477957,1
729,99500.0,Meadowlands,Brightforge,706.0,7892.0,sqft,5,Common,19900.0,79600.0,380.0225751905013,1
730,173500.0,Meadowlands,Duskwood,967.0,7697.0,sqft,6,Gleaming,34700.0,138800.0,662.6524301060499,1
731,119900.0,Meadowlands,Emberfall,667.0,8425.0,sqft,6,Common,23980.0,95920.0,457.9367514104633,1
732,164900.0,Meadowlands,Dragonspire,1048.0,14559.0,sqft,7,Gleaming,32980.0,131920.0,629.8062577780267,1
733,152000.0,AetherIsles,Wyverncliff,950.0,2544.0,sqft,5,Gleaming,30400.0,121600.0,580.5369992859919,1
734,209000.0,Meadowlands,Brightforge,1968.0,12128.0,sqft,4,Gleaming,41800.0,167200.0,798.2383740182388,0
735,168000.0,Meadowlands,Duskwood,1099.0,7848.0,sqft,6,Common,33600.0,134400.0,641.64615710557,1
736,95000.0,Meadowlands,Shadowmere,854.0,9084.0,sqft,6,Common,19000.0,76000.0,362.8356245537449,1
737,373000.0,Meadowlands,Mossheart,1920.0,17778.0,sqft,5,Gleaming,74600.0,298400.0,1424.6072416689144,0
738,170000.0,Meadowlands,Riverbend,836.0,3696.0,sqft,5,Gleaming,34000.0,136000.0,649.2848018330171,1
739,97500.0,Meadowlands,Dragonspire,1121.0,17503.0,sqft,5,Common,19500.0,78000.0,372.38393046305396,1
740,112000.0,GnomeBurough,Starfall,1001.0,1680.0,sqft,5,Common,22400.0,89600.0,427.76410473704664,1
741,239900.0,Meadowlands,Duskwood,1385.0,10463.0,sqft,5,Gleaming,47980.0,191920.0,916.2554350572989,0
742,140000.0,Meadowlands,Dragonspire,856.0,9900.0,sqft,5,Common,28000.0,112000.0,534.7051309213083,1
743,149000.0,GnomeBurough,Stormwatch,1101.0,6615.0,sqft,6,Common,29800.0,119200.0,569.0790321948209,1
744,130000.0,Meadowlands,Emberfall,691.0,7800.0,sqft,7,Common,26000.0,104000.0,496.5119072840719,1
745,195000.0,Meadowlands,Ravenstone,1288.0,7915.0,sqft,5,Gleaming,39000.0,156000.0,744.7678609261079,1
746,115000.0,Meadowlands,Crystalhollow,1362.0,21750.0,sqft,4,Common,23000.0,92000.0,439.2220718282175,1
747,153000.0,Meadowlands,Dragonspire,859.0,11332.0,sqft,7,Common,30600.0,122400.0,584.3563216497154,1
748,457347.0,Meadowlands,Riverbend,2152.0,16023.0,sqft,5,Gleaming,91469.40000000001,365877.6,1746.7556250819114,0
749,307000.0,AetherIsles,Wyverncliff,1303.0,10084.0,sqft,5,Gleaming,61400.0,245600.0,1172.5319656631546,0
750,111250.0,Meadowlands,Dragonspire,664.0,12735.0,sqft,5,Common,22250.0,89000.0,424.89961296425395,1
751,215000.0,AetherIsles,Wyverncliff,1179.0,10612.0,sqft,5,Gleaming,43000.0,172000.0,821.1543082005807,0
752,386250.0,Meadowlands,Silverglen,1839.0,13472.0,sqft,5,Enchanting,77250.0,309000.0,1475.2132629882522,0
753,392000.0,Meadowlands,Ravenstone,664.0,12633.0,sqft,5,Enchanting,78400.0,313600.0,1497.1743665796635,0
754,88750.0,Meadowlands,Emberfall,541.0,4280.0,sqft,9,Common,17750.0,71000.0,338.9648597804722,1
755,208500.0,Meadowlands,Sunspire,1315.0,8450.0,sqft,5,Gleaming,41700.0,166800.0,796.3287128363769,0
756,187500.0,Meadowlands,Nighthaven,1132.0,14115.0,sqft,5,Common,37500.0,150000.0,716.1229431981808,1
757,192000.0,Meadowlands,Sunspire,1100.0,9017.0,sqft,5,Gleaming,38400.0,153600.0,733.309893834937,1
758,135000.0,Meadowlands,Dragonspire,711.0,8125.0,sqft,7,Gleaming,27000.0,108000.0,515.6085191026901,1
759,293077.0,Meadowlands,Ravenstone,1266.0,9520.0,sqft,5,Gleaming,58615.4,234461.6,1119.3555403930304,0
760,197900.0,Meadowlands,Sunspire,1368.0,10400.0,sqft,5,Common,39580.0,158320.0,755.8438957809065,0
761,191750.0,Meadowlands,Brightforge,1399.0,11613.0,sqft,5,Gleaming,38350.0,153400.0,732.3550632440061,1
762,64000.0,Meadowlands,Shadowmere,861.0,11792.0,sqft,5,Common,12800.0,51200.0,244.43663127831238,1
763,99800.0,GnomeBurough,Petalbridge,548.0,10410.0,sqft,8,Common,19960.0,79840.0,381.1683718996183,1
764,168000.0,GnomeBurough,Petalbridge,1339.0,17671.0,sqft,9,Gleaming,33600.0,134400.0,641.64615710557,1
765,164000.0,Meadowlands,Windwhisper,769.0,13049.981752185,sqft,6,Common,32800.0,131200.0,626.3688676506754,1
766,154000.0,Meadowlands,Silverglen,1250.0,2448.0,sqft,5,Gleaming,30800.0,123200.0,588.1756440134391,1
767,136300.0,Meadowlands,Dragonspire,1365.0,10600.0,sqft,5,Common,27260.0,109040.0,520.5736381755308,1
768,145000.0,Meadowlands,Sunspire,846.0,13015.0,sqft,6,Common,29000.0,116000.0,553.8017427399265,1
769,150000.0,Meadowlands,Stormhold,1993.0,10890.0,sqft,6,Common,30000.0,120000.0,572.8983545585446,1
770,149000.0,Meadowlands,Crystalhollow,679.0,7669.0,sqft,6,Common,29800.0,119200.0,569.0790321948209,1
771,123000.0,Meadowlands,Dragonspire,692.0,7838.0,sqft,5,Common,24600.0,98400.0,469.77665073800654,1
772,144500.0,Meadowlands,Shadowmere,826.0,11479.0,sqft,7,Common,28900.0,115600.0,551.8920815580647,1
773,305000.0,AetherIsles,Wyverncliff,1197.0,4109.0,sqft,5,Gleaming,61000.0,244000.0,1164.8933209357074,0
774,109000.0,GnomeBurough,Petalbridge,795.0,10134.0,sqft,6,Common,21800.0,87200.0,416.3061376458757,1
775,170000.0,AetherIsles,Wyverncliff,1219.0,2645.0,sqft,5,Gleaming,34000.0,136000.0,649.2848018330171,1
776,139000.0,Meadowlands,Crystalhollow,1403.0,9400.0,sqft,5,Common,27800.0,111200.0,530.8858085575847,1
777,119900.0,Meadowlands,Shadowmere,1290.0,10926.0,sqft,5,Common,23980.0,95920.0,457.9367514104633,1
778,320000.0,Meadowlands,Silverglen,1449.0,7390.0,sqft,5,Enchanting,64000.0,256000.0,1222.1831563915619,0
779,142250.0,Meadowlands,Dragonspire,947.0,9600.0,sqft,5,Common,28450.0,113800.0,543.2986062396865,1
780,128000.0,Meadowlands,Dragonspire,664.0,17199.0,sqft,7,Common,25600.0,102400.0,488.87326255662475,1
781,149900.0,Meadowlands,Dragonspire,994.0,11027.0,sqft,5,Common,29980.0,119920.0,572.5164223221723,1
782,161500.0,Meadowlands,Nighthaven,1032.0,9790.0,sqft,5,Common,32300.0,129200.0,616.8205617413663,1
783,148000.0,Meadowlands,Dragonspire,1053.0,10000.0,sqft,6,Common,29600.0,118400.0,565.2597098310973,1
784,174.0,Meadowlands,Ravenstone,953.0,0.10331,sqft,7,Common,34.800000000000004,139.2,0.6645620912879117,1
785,193000.0,Meadowlands,Brightforge,1393.0,10628.0,sqft,5,Gleaming,38600.0,154400.0,737.1292161986607,1
786,120000.0,GnomeBurough,Petalbridge,909.0,9576.0,sqft,7,Common,24000.0,96000.0,458.31868364683567,1
787,145000.0,Meadowlands,Dragonspire,1066.0,7514.0,sqft,7,Common,29000.0,116000.0,553.8017427399265,1
788,149000.0,GnomeBurough,Stormwatch,1212.0,6240.0,sqft,6,Common,29800.0,119200.0,569.0790321948209,1
789,194000.0,Meadowlands,Thornfield,1320.0,12400.0,sqft,6,Common,38800.0,155200.0,740.9485385623843,1
790,158000.0,Meadowlands,Brightforge,890.0,13072.0,sqft,5,Common,31600.0,126400.0,603.4529334683336,1
791,294464.0,Meadowlands,Thornfield,1267.0,3843.0,sqft,5,Enchanting,58892.8,235571.2,1124.6529405115152,0
792,213500.0,Meadowlands,Sunspire,1382.0,9245.0,sqft,5,Gleaming,42700.0,170800.0,815.425324654995,0
793,198500.0,Meadowlands,Sunspire,1326.0,8749.0,sqft,5,Gleaming,39700.0,158800.0,758.1354891991407,0
794,127500.0,GnomeBurough,Petalbridge,1237.0,4347.0,sqft,8,Gleaming,25500.0,102000.0,486.9636013747629,1
795,173000.0,Meadowlands,Duskwood,1285.0,10852.0,sqft,5,Common,34600.0,138400.0,660.7427689241881,1
796,123000.0,Meadowlands,Shadowmere,839.0,9825.0,sqft,5,Common,24600.0,98400.0,469.77665073800654,1
797,173000.0,Meadowlands,Windwhisper,993.0,2887.0,sqft,5,Common,34600.0,138400.0,660.7427689241881,1
798,318000.0,Meadowlands,Riverbend,1318.0,8147.0,sqft,5,Gleaming,63600.0,254400.0,1214.5445116641145,0
799,415298.0,Meadowlands,Silverglen,1631.0,14450.0,sqft,5,Enchanting,83059.6,332238.4,1586.1569390096963,0
800,610000.0,Meadowlands,Silverglen,2056.0,13693.0,sqft,5,Enchanting,122000.0,488000.0,2329.7866418714148,0
801,325000.0,GnomeBurough,Petalbridge,2134.0,13500.0,sqft,9,Enchanting,65000.0,260000.0,1241.27976821018,0
802,173000.0,Meadowlands,Duskwood,897.0,9248.0,sqft,6,Common,34600.0,138400.0,660.7427689241881,1
803,159000.0,Meadowlands,Dragonspire,664.0,8000.0,sqft,6,Common,31800.0,127200.0,607.2722558320572,1
804,121000.0,Meadowlands,Shadowmere,979.0,11388.0,sqft,7,Common,24200.0,96800.0,462.13800601055925,1
805,235000.0,Meadowlands,Glimmerwood,1349.0,11949.0,sqft,8,Gleaming,47000.0,188000.0,897.5407554750532,0
806,153900.0,GnomeBurough,Petalbridge,1089.0,12665.0,sqft,8,Common,30780.0,123120.0,587.7937117770667,1
807,360000.0,Meadowlands,Silverglen,1335.0,11578.0,sqft,5,Enchanting,72000.0,288000.0,1374.956050940507,0
808,144000.0,Meadowlands,Shadowmere,919.0,10044.0,sqft,6,Common,28800.0,115200.0,549.9824203762028,1
809,93900.0,GnomeBurough,Wolfsbane,839.0,1495.0,sqft,6,Common,18780.0,75120.0,358.6343699536489,1
810,174000.0,Meadowlands,Duskwood,1139.0,8125.0,sqft,5,Common,34800.0,139200.0,664.5620912879117,1
811,220000.0,Meadowlands,Sunspire,1044.0,11088.0,sqft,5,Gleaming,44000.0,176000.0,840.2509200191988,0
812,139900.0,GnomeBurough,Stormwatch,1089.0,6000.0,sqft,7,Common,27980.0,111920.0,534.3231986849358,1
813,132000.0,Meadowlands,Emberfall,813.0,7420.0,sqft,5,Common,26400.0,105600.0,504.1505520115192,1
814,221500.0,Meadowlands,Sunspire,1241.0,11210.0,sqft,5,Gleaming,44300.0,177200.0,845.9799035647842,0
815,240000.0,Meadowlands,Sunspire,1607.0,10000.0,sqft,5,Gleaming,48000.0,192000.0,916.6373672936713,0
816,220000.0,GnomeBurough,Petalbridge,1912.0,33120.0,sqft,5,Common,44000.0,176000.0,840.2509200191988,0
817,131500.0,Meadowlands,Emberfall,799.0,11625.0,sqft,4,Common,26300.0,105200.0,502.2408908296574,1
818,591587.0,Meadowlands,Riverbend,1798.0,51974.0,sqft,5,Enchanting,118317.40000000001,473269.6,2259.4614591881714,0
819,239000.0,Meadowlands,Thornfield,1803.0,16560.0,sqft,8,Common,47800.0,191200.0,912.8180449299477,0
820,155000.0,Meadowlands,Stormhold,873.0,7200.0,sqft,9,Gleaming,31000.0,124000.0,591.9949663771628,1
821,150900.0,Meadowlands,Crystalhollow,1329.0,12640.0,sqft,5,Common,30180.0,120720.0,576.3357446858959,1
822,114000.0,GnomeBurough,Petalbridge,891.0,7506.0,sqft,8,Common,22800.0,91200.0,435.40274946449387,1
823,200000.0,Meadowlands,Sunspire,1307.0,9135.0,sqft,5,Gleaming,40000.0,160000.0,763.8644727447262,0
824,112000.0,GnomeBurough,Stormwatch,621.0,5175.0,sqft,8,Common,22400.0,89600.0,427.76410473704664,1
825,161000.0,GnomeBurough,Mystvale,1676.0,10320.0,sqft,5,Common,32200.0,128800.0,614.9109005595045,1
826,113500.0,GnomeBurough,Starfall,839.0,2205.0,sqft,6,Common,22700.0,90800.0,433.4930882826321,1
827,235000.0,Meadowlands,Dragonspire,2393.0,25419.0,sqft,4,Gleaming,47000.0,188000.0,897.5407554750532,0
828,182000.0,Meadowlands,Brightforge,664.0,8453.0,sqft,5,Gleaming,36400.0,145600.0,695.1166701977007,1
829,118000.0,GnomeBurough,Starfall,759.0,1680.0,sqft,8,Common,23600.0,94400.0,450.6800389193884,1
830,136500.0,Meadowlands,Emberfall,1359.0,10778.0,sqft,5,Common,27300.0,109200.0,521.3375026482755,1
831,137500.0,Meadowlands,Thornfield,907.0,11600.0,sqft,5,Common,27500.0,110000.0,525.1568250119992,1
832,113700.0,GnomeBurough,Starfall,936.0,2058.0,sqft,5,Common,22740.0,90960.0,434.25695275537686,1
833,165000.0,Meadowlands,Emberfall,1364.0,15400.0,sqft,5,Common,33000.0,132000.0,630.188190014399,1
834,119900.0,Meadowlands,Shadowmere,904.0,16133.0,sqft,4,Common,23980.0,95920.0,457.9367514104633,1
835,100000.0,GnomeBurough,Petalbridge,805.0,10800.0,sqft,7,Common,20000.0,80000.0,381.9322363723631,1
836,197900.0,Meadowlands,Nighthaven,1326.0,17871.0,sqft,5,Common,39580.0,158320.0,755.8438957809065,0
837,228500.0,Meadowlands,Sunspire,1668.0,9375.0,sqft,5,Gleaming,45700.0,182800.0,872.7151601108496,0
838,254900.0,Meadowlands,Crystalhollow,1473.0,11050.0,sqft,5,Gleaming,50980.0,203920.0,973.5452705131534,0
839,140000.0,Meadowlands,Thornfield,664.0,6221.0,sqft,5,Common,28000.0,112000.0,534.7051309213083,1
840,160000.0,Meadowlands,Sunspire,776.0,9720.0,sqft,7,Common,32000.0,128000.0,611.0915781957809,1
841,235000.0,Meadowlands,Sunspire,1402.0,12192.0,sqft,5,Gleaming,47000.0,188000.0,897.5407554750532,0
842,126500.0,GnomeBurough,Stormwatch,824.0,8635.0,sqft,5,Common,25300.0,101200.0,483.1442790110393,1
843,231713.0,Meadowlands,Ravenstone,1299.0,8368.0,sqft,5,Gleaming,46342.600000000006,185370.4,884.9866428654936,0
844,316500.0,Meadowlands,Ravenstone,1262.0,14463.0,sqft,5,Enchanting,63300.0,253200.0,1208.815528118529,0
845,275000.0,AetherIsles,Wyverncliff,1304.0,11194.0,sqft,5,Gleaming,55000.0,220000.0,1050.3136500239984,0
846,67000.0,Meadowlands,Shadowmere,664.0,8248.0,sqft,3,Common,13400.0,53600.0,255.89459836948325,1
847,178900.0,Meadowlands,Duskwood,664.0,10237.0,sqft,5,Gleaming,35780.0,143120.0,683.2767708701575,1
848,145500.0,Meadowlands,Dragonspire,793.0,7626.0,sqft,8,Gleaming,29100.0,116400.0,555.7114039217881,1
849,222000.0,Meadowlands,Thornfield,664.0,21695.0,sqft,9,Gleaming,44400.0,177600.0,847.889564746646,0
850,194700.0,Meadowlands,Silverglen,1047.0,7577.0,sqft,5,Gleaming,38940.0,155760.0,743.6220642169909,1
851,145000.0,Meadowlands,Windwhisper,1323.0,10532.0,sqft,3,Common,29000.0,116000.0,553.8017427399265,1
852,134450.0,Meadowlands,Dragonspire,950.0,10011.0,sqft,6,Common,26890.0,107560.0,513.5078918026421,1
853,248500.0,Meadowlands,Sunspire,1242.0,9345.0,sqft,5,Gleaming,49700.0,198800.0,949.1016073853223,0
854,198600.0,AetherIsles,Wyverncliff,983.0,8640.0,sqft,5,Gleaming,39720.0,158880.0,758.517421435513,0
855,189000.0,Meadowlands,Riverbend,944.0,4671.0,sqft,5,Gleaming,37800.0,151200.0,721.8519267437662,1
856,187000.0,Meadowlands,Emberfall,1057.0,14175.0,sqft,5,Common,37400.0,149600.0,714.2132820163189,1
857,212000.0,Meadowlands,Riverbend,1016.0,5118.0,sqft,5,Gleaming,42400.0,169600.0,809.6963411094097,0
