DI,TradeValue,RealmType,Enclave,LivingQuarters,ParcelSize,ParcelSizeUnit,StructuralIntegrity,ExteriorCharm,Craftsmanship,EraConstructed,NeedsRestoration
588,177625.0,Meadowlands,Dragonspire,1329.0,13495.0,sqft,6,Common,5,1282,True
589,146800.0,Meadowlands,Crystalhollow,816.0,11333.0,sqft,5,Common,6,1501,False
590,120000.0,Meadowlands,Brightforge,936.0,10762.0,sqft,6,Common,6,1458,False
591,109900.0,GnomeBurough,Mystvale,919.0,4800.0,sqft,7,Common,4,1176,False
592,96000.0,GnomeBurough,Starfall,759.0,1680.0,sqft,5,Common,6,1287,True
593,112000.0,Meadowlands,Emberfall,1089.0,25339.0,sqft,7,Common,5,1191,False
594,153000.0,Meadowlands,Brightforge,856.0,12450.0,sqft,5,Common,5,1781,False
595,128200.0,Meadowlands,Sunspire,687.0,10650.0,sqft,6,Common,5,1417,False
596,241600.0,Meadowlands,Mossheart,1338.0,15417.0,sqft,5,Gleaming,7,1451,False
597,91900.0,Meadowlands,Shadowmere,603.0,6931.0,sqft,5,Common,4,1242,True
598,176000.0,Meadowlands,Nighthaven,1521.0,9900.0,sqft,5,Common,7,1335,False
599,149350.0,Meadowlands,Emberfall,944.0,8544.0,sqft,6,Common,5,1399,False
600,112500.0,GnomeBurough,Petalbridge,710.0,15783.0,sqft,5,Common,5,1223,True
601,155000.0,Meadowlands,Cloudrest,1190.0,2308.0,sqft,6,Common,6,1464,False
602,141000.0,GnomeBurough,Mystvale,1057.0,9000.0,sqft,6,Common,6,1096,True
603,120000.0,Meadowlands,Shadowmere,664.0,12180.0,sqft,7,Common,5,1068,False
604,214900.0,Meadowlands,Ravenstone,1456.0,11316.0,sqft,5,Gleaming,7,1733,False
605,212500.0,Meadowlands,Silverglen,1044.0,10307.0,sqft,5,Gleaming,7,1777,False
606,160000.0,Meadowlands,Stormhold,1137.0,7000.0,sqft,8,Common,7,1038,False
607,190000.0,Meadowlands,Windwhisper,1216.0,36500.0,sqft,5,Common,5,1212,True
608,135000.0,GnomeBurough,Mystvale,1129.0,10320.0,sqft,7,Common,6,1176,False
609,372500.0,Meadowlands,Glimmerwood,2143.0,11025.0,sqft,5,Gleaming,9,1585,False
610,118500.0,Meadowlands,Dragonspire,935.0,8480.0,sqft,5,Common,5,1072,True
611,202000.0,Meadowlands,Duskwood,1366.0,9783.0,sqft,5,Common,6,1423,False
612,84000.0,Meadowlands,Shadowmere,649.0,11500.0,sqft,3,Common,4,1390,False
613,122000.0,Meadowlands,Shadowmere,664.0,8211.9885171604,sqft,6,Common,5,1020,True
614,159000.0,Meadowlands,Dragonspire,664.0,9500.0,sqft,5,Common,6,1356,False
615,166000.0,Meadowlands,Dragonspire,1070.0,11900.0,sqft,5,Common,6,1272,True
616,160500.0,Meadowlands,Shadowmere,1075.0,7200.0,sqft,7,Common,6,1411,False
617,167240.0,Meadowlands,Dreamweaver,959.0,3010.0,sqft,5,Gleaming,7,1617,False
618,166000.0,Meadowlands,Duskwood,915.0,7250.0,sqft,5,Common,6,1467,False
619,138000.0,Meadowlands,Sunspire,664.0,8072.0,sqft,5,Common,5,1478,False
620,362500.0,Meadowlands,Glimmerwood,1806.0,13143.0,sqft,5,Gleaming,8,1546,False
621,190000.0,AetherIsles,Wyverncliff,1292.0,3515.0,sqft,5,Gleaming,7,1740,False
622,188000.0,Meadowlands,Duskwood,664.0,8000.0,sqft,5,Common,6,1415,False
623,68400.0,GnomeBurough,Mystvale,867.0,7500.0,sqft,4,Common,4,1043,True
624,187000.0,Meadowlands,Dragonspire,1423.0,9760.0,sqft,8,Common,6,1271,False
625,135000.0,Meadowlands,Shadowmere,1144.0,12048.0,sqft,6,Common,5,1322,False
626,174000.0,Meadowlands,Duskwood,1199.0,11911.0,sqft,5,Gleaming,6,1615,False
627,190000.0,Meadowlands,Nighthaven,664.0,11952.0,sqft,6,Common,7,1468,False
628,92000.0,GnomeBurough,Wolfsbane,484.0,1533.0,sqft,7,Common,5,1231,False
629,140500.0,Meadowlands,Nighthaven,1249.0,9750.0,sqft,6,Common,5,1390,False
630,356000.0,Meadowlands,Silverglen,1396.0,12469.0,sqft,5,Enchanting,9,1619,False
631,73000.0,GnomeBurough,Wolfsbane,484.0,1470.0,sqft,6,Common,4,1323,False
632,410000.0,Meadowlands,Glimmerwood,2367.0,10557.0,sqft,5,Gleaming,9,1507,False
633,170000.0,Meadowlands,Nighthaven,938.0,13001.0,sqft,5,Common,6,1332,False
634,129000.0,Meadowlands,Emberfall,687.0,8724.0,sqft,5,Common,5,1378,False
635,129200.0,Meadowlands,Emberfall,723.0,8789.0,sqft,6,Common,5,1329,False
636,136500.0,Meadowlands,Stormhold,1303.0,8400.0,sqft,5,Common,6,1177,True
637,252000.0,Meadowlands,Silverglen,1244.0,16163.0,sqft,5,Gleaming,8,1735,False
638,127000.0,Meadowlands,Dragonspire,880.0,7700.0,sqft,7,Common,5,1253,False
639,194.0,Meadowlands,Sunspire,938.0,0.07406,sqft,5,Gleaming,7,1711,False
640,149500.0,Meadowlands,Dragonspire,759.0,9240.0,sqft,8,Gleaming,6,1306,False
641,135000.0,Meadowlands,Nighthaven,1273.0,9246.0,sqft,5,Common,5,1259,True
642,136000.0,Meadowlands,Dragonspire,830.0,9464.0,sqft,7,Common,6,1363,False
643,134900.0,GnomeBurough,Stormwatch,904.0,6000.0,sqft,9,Gleaming,6,1101,False
644,155835.0,Meadowlands,Sunspire,1119.0,11103.0,sqft,5,Gleaming,7,1660,False
645,191000.0,Meadowlands,Thornfield,1965.0,11526.0,sqft,7,Common,6,1086,False
646,191000.0,Meadowlands,Sunspire,1137.0,9382.0,sqft,5,Gleaming,7,1575,False
647,227000.0,Meadowlands,Dragonspire,1529.0,14670.0,sqft,7,Gleaming,6,1247,False
648,192000.0,Meadowlands,Dragonspire,664.0,9760.0,sqft,7,Common,6,1363,False
649,262500.0,Meadowlands,Nighthaven,1658.0,20781.0,sqft,7,Common,7,1325,False
650,160000.0,Meadowlands,Duskwood,913.0,9556.0,sqft,5,Common,7,1536,False
651,305900.0,Meadowlands,Sunspire,1538.0,10386.0,sqft,5,Gleaming,8,1781,False
652,160500.0,Meadowlands,Crystalhollow,914.0,4500.0,sqft,5,Common,6,1402,False
653,187750.0,AetherIsles,Wyverncliff,1000.0,7200.0,sqft,5,Gleaming,7,1770,False
654,129000.0,Meadowlands,Dragonspire,719.0,5868.0,sqft,7,Common,5,1345,False
655,180000.0,Meadowlands,Dragonspire,664.0,19900.0,sqft,5,Common,7,1291,True
656,215000.0,Meadowlands,Thornfield,1674.0,15600.0,sqft,6,Common,5,1207,True
657,287000.0,Meadowlands,Sunspire,1740.0,9240.0,sqft,5,Gleaming,8,1767,False
658,137250.0,Meadowlands,Emberfall,664.0,7832.0,sqft,5,Common,5,1345,False
659,315500.0,Meadowlands,Ravenstone,1246.0,12898.0,sqft,5,Gleaming,9,1716,False
660,130500.0,Meadowlands,Emberfall,1137.0,13517.0,sqft,8,Gleaming,6,1424,False
661,290000.0,Meadowlands,Mossheart,1285.0,16280.0,sqft,9,Enchanting,8,1576,False
662,151000.0,Meadowlands,Brightforge,936.0,7175.0,sqft,5,Gleaming,6,1401,False
663,235000.0,Meadowlands,Nighthaven,1587.0,18559.0,sqft,5,Gleaming,7,1478,False
664,137500.0,Meadowlands,Ravenstone,1033.0,14375.0,sqft,6,Common,6,1329,False
665,124400.0,Meadowlands,Dragonspire,808.0,9759.0,sqft,5,Common,5,1221,True
666,257500.0,AetherIsles,Wyverncliff,1275.0,10206.0,sqft,5,Gleaming,8,1708,False
667,153000.0,Meadowlands,Dragonspire,664.0,9532.0,sqft,6,Common,4,1295,True
668,133000.0,GnomeBurough,Stormwatch,1209.0,6120.0,sqft,7,Common,4,1000,False
669,180500.0,Meadowlands,Ravenstone,1009.0,6717.990606220599,sqft,5,Gleaming,8,1640,False
670,110000.0,Meadowlands,Thornfield,1056.0,9260.0,sqft,4,Common,5,1193,True
671,170000.0,Meadowlands,Crystalhollow,1068.0,10009.986003017,sqft,5,Common,5,1360,False
672,271500.0,AetherIsles,Wyverncliff,1129.0,10440.0,sqft,5,Gleaming,6,1798,False
673,179900.0,Meadowlands,Dragonspire,973.0,9350.0,sqft,8,Common,5,1350,False
674,129500.0,GnomeBurough,Petalbridge,1583.0,9600.0,sqft,5,Common,6,1061,True
675,161000.0,Meadowlands,Dragonspire,801.0,9200.0,sqft,5,Common,6,1242,True
676,119900.0,GnomeBurough,Petalbridge,859.0,7800.0,sqft,7,Common,5,1084,False
677,137000.0,Meadowlands,Dragonspire,775.0,11425.0,sqft,6,Common,5,1239,True
678,298751.0,Meadowlands,Ravenstone,1329.0,11449.0,sqft,5,Gleaming,8,1733,False
679,113000.0,GnomeBurough,Petalbridge,1116.0,4456.0,sqft,5,Common,4,1057,True
680,271000.0,Meadowlands,Glimmerwood,1636.0,10944.0,sqft,5,Gleaming,7,1550,False
681,232600.0,AetherIsles,Wyverncliff,1145.0,11216.0,sqft,5,Gleaming,8,1749,False
682,129000.0,Meadowlands,Emberfall,664.0,8400.0,sqft,5,Common,6,1247,True
683,185000.0,Meadowlands,Emberfall,913.0,14175.0,sqft,8,Common,6,1217,False
684,158900.0,Meadowlands,Emberfall,664.0,11616.0,sqft,5,Common,6,1587,False
685,187500.0,Meadowlands,Dragonspire,1117.0,10572.9852157741,sqft,6,Common,6,1363,False
686,179200.0,Meadowlands,Brightforge,995.0,7153.0,sqft,5,Common,6,1520,False
687,154000.0,Meadowlands,Dragonspire,664.0,10143.0,sqft,7,Common,6,1239,False
688,193000.0,Meadowlands,Thornfield,1200.0,13339.0,sqft,6,Common,6,1346,False
689,146000.0,Meadowlands,Dragonspire,923.0,9230.0,sqft,8,Common,5,1381,False
690,108000.0,GnomeBurough,Petalbridge,793.0,7741.0,sqft,5,Common,6,1195,True
691,140000.0,GnomeBurough,Petalbridge,1393.0,7630.0,sqft,9,Common,5,1109,False
692,249000.0,AetherIsles,Wyverncliff,1158.0,8251.0,sqft,5,Gleaming,7,1777,False
693,180000.0,Meadowlands,Riverbend,984.0,5070.0,sqft,5,Gleaming,8,1415,False
694,147000.0,Meadowlands,Dragonspire,856.0,9600.0,sqft,7,Gleaming,5,1324,False
695,136500.0,Meadowlands,Dragonspire,807.0,10659.0,sqft,6,Common,5,1382,False
696,113500.0,Meadowlands,Dragonspire,664.0,9000.0,sqft,6,Common,6,1225,True
697,122250.0,GnomeBurough,Petalbridge,1338.0,7308.0,sqft,5,Modest,5,1131,True
698,141000.0,Meadowlands,Duskwood,664.0,19138.0,sqft,5,Common,4,1333,False
699,116000.0,GnomeBurough,Petalbridge,859.0,4400.0,sqft,8,Common,6,1129,False
700,345000.0,Meadowlands,Dragonspire,2079.0,13860.0,sqft,7,Gleaming,8,1355,False
701,189000.0,Meadowlands,Duskwood,1252.0,8400.0,sqft,5,Common,7,1570,False
702,168675.0,Meadowlands,Sunspire,1146.0,8333.0,sqft,5,Gleaming,7,1627,False
703,181755.0,Meadowlands,Duskwood,1150.0,15810.0,sqft,5,Gleaming,6,1799,False
704,212000.0,Meadowlands,Sunspire,1359.0,10769.0,sqft,5,Gleaming,8,1661,False
705,165250.0,Meadowlands,Emberfall,1001.0,6960.0,sqft,8,Common,7,1065,False
706,130000.0,Meadowlands,Dragonspire,1384.0,8513.0,sqft,5,Common,5,1351,False
707,184000.0,Meadowlands,Brightforge,1296.0,7800.0,sqft,5,Gleaming,7,1670,False
708,121500.0,Meadowlands,Emberfall,1070.0,11341.0,sqft,6,Common,5,1315,False
709,127500.0,Meadowlands,Shadowmere,1299.0,9855.0,sqft,5,Common,6,1304,False
710,120000.0,GnomeBurough,Mystvale,1006.0,10320.0,sqft,6,Common,5,1193,True
711,320000.0,Meadowlands,Ravenstone,1507.0,13618.0,sqft,5,Gleaming,8,1608,False
712,268000.0,Meadowlands,Dragonspire,1705.0,15865.0,sqft,6,Gleaming,8,1343,False
713,130000.0,Meadowlands,Dragonspire,1046.0,7134.0,sqft,5,Common,5,1399,False
714,193500.0,Meadowlands,Dragonspire,1647.0,13000.0,sqft,6,Common,6,1325,False
715,108000.0,Meadowlands,Shadowmere,1161.0,9084.0,sqft,5,Common,4,1136,True
716,170000.0,GnomeBurough,Petalbridge,1127.0,10800.0,sqft,8,Common,5,1179,False
717,192100.0,Meadowlands,Dragonspire,1423.0,11727.0,sqft,6,Common,7,1214,True
718,245000.0,Meadowlands,Windwhisper,664.0,20270.0,sqft,6,Common,7,1549,False
719,129400.0,GnomeBurough,Petalbridge,1184.0,6000.0,sqft,9,Gleaming,5,1034,False
720,75000.0,GnomeBurough,Stormwatch,893.0,6120.0,sqft,5,Gleaming,3,1167,True
721,128000.0,Meadowlands,Dragonspire,817.0,9920.0,sqft,5,Common,5,1331,False
722,230000.0,Meadowlands,Nighthaven,1759.0,13774.0,sqft,7,Common,7,1530,False
723,96900.0,GnomeBurough,Petalbridge,1058.0,7614.0,sqft,5,Common,3,1172,True
724,215000.0,Meadowlands,Nighthaven,1232.0,16635.0,sqft,7,Gleaming,6,1491,False
725,205000.0,Meadowlands,Thornfield,1205.0,13680.0,sqft,6,Common,5,1109,True
726,240000.0,Meadowlands,Sunspire,1613.0,9375.0,sqft,5,Gleaming,7,1508,False
727,279000.0,Meadowlands,Silverglen,1472.0,13215.0,sqft,5,Gleaming,8,1791,False
728,131000.0,Meadowlands,Dragonspire,775.0,6860.0,sqft,6,Common,5,1298,True
729,99500.0,Meadowlands,Brightforge,706.0,7892.0,sqft,5,Common,6,1400,False
730,173500.0,Meadowlands,Duskwood,967.0,7697.0,sqft,6,Gleaming,7,1751,False
731,119900.0,Meadowlands,Emberfall,667.0,8425.0,sqft,6,Common,5,1286,True
732,164900.0,Meadowlands,Dragonspire,1048.0,14559.0,sqft,7,Gleaming,5,1314,False
733,152000.0,AetherIsles,Wyverncliff,950.0,2544.0,sqft,5,Gleaming,6,1766,False
734,209000.0,Meadowlands,Brightforge,1968.0,12128.0,sqft,4,Gleaming,6,1454,False
735,168000.0,Meadowlands,Duskwood,1099.0,7848.0,sqft,6,Common,7,1492,False
736,95000.0,Meadowlands,Shadowmere,854.0,9084.0,sqft,6,Common,5,1168,True
737,373000.0,Meadowlands,Mossheart,1920.0,17778.0,sqft,5,Gleaming,8,1480,False
738,170000.0,Meadowlands,Riverbend,836.0,3696.0,sqft,5,Gleaming,8,1561,False
739,97500.0,Meadowlands,Dragonspire,1121.0,17503.0,sqft,5,Common,6,1160,True
740,112000.0,GnomeBurough,Starfall,1001.0,1680.0,sqft,5,Common,5,1247,True
741,239900.0,Meadowlands,Duskwood,1385.0,10463.0,sqft,5,Gleaming,8,1611,False
742,140000.0,Meadowlands,Dragonspire,856.0,9900.0,sqft,5,Common,5,1269,True
743,149000.0,GnomeBurough,Stormwatch,1101.0,6615.0,sqft,6,Common,6,1060,True
744,130000.0,Meadowlands,Emberfall,691.0,7800.0,sqft,7,Common,5,1387,False
745,195000.0,Meadowlands,Ravenstone,1288.0,7915.0,sqft,5,Gleaming,6,1458,False
746,115000.0,Meadowlands,Crystalhollow,1362.0,21750.0,sqft,4,Common,5,1296,True
747,153000.0,Meadowlands,Dragonspire,859.0,11332.0,sqft,7,Common,5,1247,False
748,457347.0,Meadowlands,Riverbend,2152.0,16023.0,sqft,5,Gleaming,9,1618,False
749,307000.0,AetherIsles,Wyverncliff,1303.0,10084.0,sqft,5,Gleaming,8,1748,False
750,111250.0,Meadowlands,Dragonspire,664.0,12735.0,sqft,5,Common,4,1245,True
751,215000.0,AetherIsles,Wyverncliff,1179.0,10612.0,sqft,5,Gleaming,8,1786,False
752,386250.0,Meadowlands,Silverglen,1839.0,13472.0,sqft,5,Enchanting,10,1607,False
753,392000.0,Meadowlands,Ravenstone,664.0,12633.0,sqft,5,Enchanting,10,1619,False
754,88750.0,Meadowlands,Emberfall,541.0,4280.0,sqft,9,Common,4,1058,False
755,208500.0,Meadowlands,Sunspire,1315.0,8450.0,sqft,5,Gleaming,7,1779,False
756,187500.0,Meadowlands,Nighthaven,1132.0,14115.0,sqft,5,Common,7,1466,False
757,192000.0,Meadowlands,Sunspire,1100.0,9017.0,sqft,5,Gleaming,7,1567,False
758,135000.0,Meadowlands,Dragonspire,711.0,8125.0,sqft,7,Gleaming,5,1270,False
759,293077.0,Meadowlands,Ravenstone,1266.0,9520.0,sqft,5,Gleaming,8,1702,False
760,197900.0,Meadowlands,Sunspire,1368.0,10400.0,sqft,5,Common,7,1477,False
761,191750.0,Meadowlands,Brightforge,1399.0,11613.0,sqft,5,Gleaming,6,1464,False
762,64000.0,Meadowlands,Shadowmere,861.0,11792.0,sqft,5,Common,4,1153,True
763,99800.0,GnomeBurough,Petalbridge,548.0,10410.0,sqft,8,Common,3,1054,False
764,168000.0,GnomeBurough,Petalbridge,1339.0,17671.0,sqft,9,Gleaming,8,931,False
765,164000.0,Meadowlands,Windwhisper,769.0,13049.981752185,sqft,6,Common,5,1227,True
766,154000.0,Meadowlands,Silverglen,1250.0,2448.0,sqft,5,Gleaming,7,1694,False
767,136300.0,Meadowlands,Dragonspire,1365.0,10600.0,sqft,5,Common,6,1311,False
768,145000.0,Meadowlands,Sunspire,846.0,13015.0,sqft,6,Common,5,1527,False
769,150000.0,Meadowlands,Stormhold,1993.0,10890.0,sqft,6,Common,5,1113,True
770,149000.0,Meadowlands,Crystalhollow,679.0,7669.0,sqft,6,Common,5,1437,False
771,123000.0,Meadowlands,Dragonspire,692.0,7838.0,sqft,5,Common,5,1263,True
772,144500.0,Meadowlands,Shadowmere,826.0,11479.0,sqft,7,Common,6,1339,False
773,305000.0,AetherIsles,Wyverncliff,1197.0,4109.0,sqft,5,Gleaming,9,1589,False
774,109000.0,GnomeBurough,Petalbridge,795.0,10134.0,sqft,6,Common,5,1079,True
775,170000.0,AetherIsles,Wyverncliff,1219.0,2645.0,sqft,5,Gleaming,8,1483,False
776,139000.0,Meadowlands,Crystalhollow,1403.0,9400.0,sqft,5,Common,6,1217,True
777,119900.0,Meadowlands,Shadowmere,1290.0,10926.0,sqft,5,Common,5,1245,True
778,320000.0,Meadowlands,Silverglen,1449.0,7390.0,sqft,5,Enchanting,9,1738,False
779,142250.0,Meadowlands,Dragonspire,947.0,9600.0,sqft,5,Common,5,1394,False
780,128000.0,Meadowlands,Dragonspire,664.0,17199.0,sqft,7,Common,4,1300,False
781,149900.0,Meadowlands,Dragonspire,994.0,11027.0,sqft,5,Common,6,1308,False
782,161500.0,Meadowlands,Nighthaven,1032.0,9790.0,sqft,5,Common,6,1366,False
783,148000.0,Meadowlands,Dragonspire,1053.0,10000.0,sqft,6,Common,5,1285,True
784,174.0,Meadowlands,Ravenstone,953.0,0.10331,sqft,7,Common,7,1524,False
785,193000.0,Meadowlands,Brightforge,1393.0,10628.0,sqft,5,Gleaming,7,1666,False
786,120000.0,GnomeBurough,Petalbridge,909.0,9576.0,sqft,7,Common,6,1014,False
787,145000.0,Meadowlands,Dragonspire,1066.0,7514.0,sqft,7,Common,5,1391,False
788,149000.0,GnomeBurough,Stormwatch,1212.0,6240.0,sqft,6,Common,5,1185,True
789,194000.0,Meadowlands,Thornfield,1320.0,12400.0,sqft,6,Common,5,1053,True
790,158000.0,Meadowlands,Brightforge,890.0,13072.0,sqft,5,Common,6,1799,False
791,294464.0,Meadowlands,Thornfield,1267.0,3843.0,sqft,5,Enchanting,8,1694,False
792,213500.0,Meadowlands,Sunspire,1382.0,9245.0,sqft,5,Gleaming,7,1648,False
793,198500.0,Meadowlands,Sunspire,1326.0,8749.0,sqft,5,Gleaming,7,1794,False
794,127500.0,GnomeBurough,Petalbridge,1237.0,4347.0,sqft,8,Gleaming,6,1151,False
795,173000.0,Meadowlands,Duskwood,1285.0,10852.0,sqft,5,Common,6,1602,False
796,123000.0,Meadowlands,Shadowmere,839.0,9825.0,sqft,5,Common,5,1351,False
797,173000.0,Meadowlands,Windwhisper,993.0,2887.0,sqft,5,Common,6,1400,False
798,318000.0,Meadowlands,Riverbend,1318.0,8147.0,sqft,5,Gleaming,9,1613,False
799,415298.0,Meadowlands,Silverglen,1631.0,14450.0,sqft,5,Enchanting,9,1714,False
800,610000.0,Meadowlands,Silverglen,2056.0,13693.0,sqft,5,Enchanting,10,1681,False
801,325000.0,GnomeBurough,Petalbridge,2134.0,13500.0,sqft,9,Enchanting,10,903,False
802,173000.0,Meadowlands,Duskwood,897.0,9248.0,sqft,6,Common,6,1413,False
803,159000.0,Meadowlands,Dragonspire,664.0,8000.0,sqft,6,Common,5,1364,False
804,121000.0,Meadowlands,Shadowmere,979.0,11388.0,sqft,7,Common,4,1048,False
805,235000.0,Meadowlands,Glimmerwood,1349.0,11949.0,sqft,8,Gleaming,7,1499,False
806,153900.0,GnomeBurough,Petalbridge,1089.0,12665.0,sqft,8,Common,5,1057,False
807,360000.0,Meadowlands,Silverglen,1335.0,11578.0,sqft,5,Enchanting,9,1659,False
808,144000.0,Meadowlands,Shadowmere,919.0,10044.0,sqft,6,Common,5,1387,False
809,93900.0,GnomeBurough,Wolfsbane,839.0,1495.0,sqft,6,Common,4,1304,False
810,174000.0,Meadowlands,Duskwood,1139.0,8125.0,sqft,5,Common,6,1567,False
811,220000.0,Meadowlands,Sunspire,1044.0,11088.0,sqft,5,Gleaming,8,1776,False
812,139900.0,GnomeBurough,Stormwatch,1089.0,6000.0,sqft,7,Common,6,1173,False
813,132000.0,Meadowlands,Emberfall,813.0,7420.0,sqft,5,Common,5,1388,False
814,221500.0,Meadowlands,Sunspire,1241.0,11210.0,sqft,5,Gleaming,7,1737,False
815,240000.0,Meadowlands,Sunspire,1607.0,10000.0,sqft,5,Gleaming,8,1426,False
816,220000.0,GnomeBurough,Petalbridge,1912.0,33120.0,sqft,5,Common,6,1293,True
817,131500.0,Meadowlands,Emberfall,799.0,11625.0,sqft,4,Common,5,1272,True
818,591587.0,Meadowlands,Riverbend,1798.0,51974.0,sqft,5,Enchanting,9,1754,False
819,239000.0,Meadowlands,Thornfield,1803.0,16560.0,sqft,8,Common,6,1068,False
820,155000.0,Meadowlands,Stormhold,873.0,7200.0,sqft,9,Gleaming,7,1089,False
821,150900.0,Meadowlands,Crystalhollow,1329.0,12640.0,sqft,5,Common,6,1588,False
822,114000.0,GnomeBurough,Petalbridge,891.0,7506.0,sqft,8,Common,5,1170,False
823,200000.0,Meadowlands,Sunspire,1307.0,9135.0,sqft,5,Gleaming,6,1773,False
824,112000.0,GnomeBurough,Stormwatch,621.0,5175.0,sqft,8,Common,5,1287,False
825,161000.0,GnomeBurough,Mystvale,1676.0,10320.0,sqft,5,Common,6,1054,True
826,113500.0,GnomeBurough,Starfall,839.0,2205.0,sqft,6,Common,6,1242,True
827,235000.0,Meadowlands,Dragonspire,2393.0,25419.0,sqft,4,Gleaming,8,1021,True
828,182000.0,Meadowlands,Brightforge,664.0,8453.0,sqft,5,Gleaming,6,1547,False
829,118000.0,GnomeBurough,Starfall,759.0,1680.0,sqft,8,Common,6,1313,False
830,136500.0,Meadowlands,Emberfall,1359.0,10778.0,sqft,5,Common,4,1393,False
831,137500.0,Meadowlands,Thornfield,907.0,11600.0,sqft,5,Common,4,1084,True
832,113700.0,GnomeBurough,Starfall,936.0,2058.0,sqft,5,Common,6,1354,False
833,165000.0,Meadowlands,Emberfall,1364.0,15400.0,sqft,5,Common,5,1299,True
834,119900.0,Meadowlands,Shadowmere,904.0,16133.0,sqft,4,Common,5,1245,True
835,100000.0,GnomeBurough,Petalbridge,805.0,10800.0,sqft,7,Common,4,998,False
836,197900.0,Meadowlands,Nighthaven,1326.0,17871.0,sqft,5,Common,6,1346,False
837,228500.0,Meadowlands,Sunspire,1668.0,9375.0,sqft,5,Gleaming,8,1794,False
838,254900.0,Meadowlands,Crystalhollow,1473.0,11050.0,sqft,5,Gleaming,8,1473,False
839,140000.0,Meadowlands,Thornfield,664.0,6221.0,sqft,5,Common,5,1016,True
840,160000.0,Meadowlands,Sunspire,776.0,9720.0,sqft,7,Common,5,1420,False
841,235000.0,Meadowlands,Sunspire,1402.0,12192.0,sqft,5,Gleaming,7,1795,False
842,126500.0,GnomeBurough,Stormwatch,824.0,8635.0,sqft,5,Common,5,1055,True
843,231713.0,Meadowlands,Ravenstone,1299.0,8368.0,sqft,5,Gleaming,7,1713,False
844,316500.0,Meadowlands,Ravenstone,1262.0,14463.0,sqft,5,Enchanting,9,1747,False
845,275000.0,AetherIsles,Wyverncliff,1304.0,11194.0,sqft,5,Gleaming,8,1769,False
846,67000.0,Meadowlands,Shadowmere,664.0,8248.0,sqft,3,Common,3,1124,True
847,178900.0,Meadowlands,Duskwood,664.0,10237.0,sqft,5,Gleaming,6,1773,False
848,145500.0,Meadowlands,Dragonspire,793.0,7626.0,sqft,8,Gleaming,5,1316,False
849,222000.0,Meadowlands,Thornfield,664.0,21695.0,sqft,9,Gleaming,6,1481,False
850,194700.0,Meadowlands,Silverglen,1047.0,7577.0,sqft,5,Gleaming,6,1680,False
851,145000.0,Meadowlands,Windwhisper,1323.0,10532.0,sqft,3,Common,5,1372,False
852,134450.0,Meadowlands,Dragonspire,950.0,10011.0,sqft,6,Common,5,1366,False
853,248500.0,Meadowlands,Sunspire,1242.0,9345.0,sqft,5,Gleaming,8,1708,False
854,198600.0,AetherIsles,Wyverncliff,983.0,8640.0,sqft,5,Gleaming,8,1727,False
855,189000.0,Meadowlands,Riverbend,944.0,4671.0,sqft,5,Gleaming,8,1587,False
856,187000.0,Meadowlands,Emberfall,1057.0,14175.0,sqft,5,Common,5,1206,True
857,212000.0,Meadowlands,Riverbend,1016.0,5118.0,sqft,5,Gleaming,8,1441,False
858,200000.0,Meadowlands,Nighthaven,1607.0,10382.0,sqft,6,Common,7,1341,False
859,80000.0,GnomeBurough,Petalbridge,1353.0,10818.0,sqft,4,Common,4,1102,True
860,460000.0,Meadowlands,Silverglen,2146.0,12539.0,sqft,5,Enchanting,10,1689,False
861,68500.0,GnomeBurough,Stormwatch,399.0,6324.0,sqft,6,Common,4,1094,True
862,147500.0,Meadowlands,Dragonspire,1169.0,12144.0,sqft,6,Common,4,1292,True
863,108000.0,Meadowlands,Emberfall,729.0,8978.0,sqft,5,Common,5,1355,False
864,159900.0,Meadowlands,Shadowmere,886.0,10546.9852521299,sqft,5,Common,5,1472,False
865,127000.0,Meadowlands,Dragonspire,851.0,8050.0,sqft,6,Common,5,1260,True
866,164500.0,AetherIsles,Wyverncliff,941.0,3951.0,sqft,5,Gleaming,6,1782,False
867,155000.0,Meadowlands,Shadowmere,865.0,8536.0,sqft,5,Common,5,1604,False
868,172000.0,Meadowlands,Dragonspire,958.0,12700.0,sqft,5,Common,6,1362,False
869,125000.0,Meadowlands,Brightforge,578.0,7175.0,sqft,5,Common,6,1415,False
870,155000.0,Meadowlands,Thornfield,979.0,14680.0,sqft,4,Common,5,1306,False
871,143000.0,Meadowlands,Cloudrest,1119.0,2308.0,sqft,6,Common,6,1533,False
872,322500.0,Meadowlands,Glimmerwood,1986.0,11002.0,sqft,5,Gleaming,8,1562,False
873,124500.0,Meadowlands,Dragonspire,678.0,13008.0,sqft,5,Common,6,1342,False
874,130000.0,Meadowlands,Dragonspire,664.0,7130.0,sqft,6,Common,5,1204,True
875,335000.0,Meadowlands,Ravenstone,1937.0,26178.0,sqft,5,Gleaming,7,1576,False
876,327000.0,Meadowlands,Glimmerwood,2066.0,12720.0,sqft,5,Gleaming,8,1772,False
877,211000.0,Meadowlands,Duskwood,1498.0,7875.0,sqft,5,Gleaming,7,1768,False
878,142500.0,Meadowlands,Emberfall,814.0,9000.0,sqft,6,Common,5,1213,True
879,125000.0,Meadowlands,Shadowmere,837.0,7440.0,sqft,6,Common,5,1207,True
